id,genre,title,author,publisher,edition
460,horror,"Ideal Husband, An",Giovanni,Gwenora,4
461,Poetry,Hard Times,Hanan,Archibaldo,5
462,Religion,"Statues Also Die (Statues meurent aussi, Les)",Colline,Morna,3
463,academic,"Garbage Pail Kids Movie, The",Sophey,Flossie,1
464,Journals,Moebius Redux: A Life in Pictures,Findley,Neil,2
465,Guide,How to Make Money Selling Drugs,Zora,Ardenia,5
466,Poetry,Babylon A.D.,Irv,Farr,1
467,Diaries,Premature,Brady,Wade,3
468,Action and Adventure,Bopha!,Lodovico,Douglass,1
469,Journals,Donovan's Reef,Bambie,Clerc,5
470,Self help,"Injury to One, An",Min,Anatol,4
471,Health,Guarding Tess,Morlee,Morgan,5
472,Children's,Cazuza - O Tempo Não Pára,Sonny,Pinchas,2
473,Anthology,7 Women (a.k.a. Seven Women),Regan,Gretel,5
474,Dictionaries,A Second Chance,Alasdair,Dell,3
475,Diaries,Cocktail,Glenden,Ailee,1
476,Science fiction,Le Mans,Dedie,Darius,4
477,Poetry,Fear Strikes Out,Boony,Katalin,4
478, Spirituality & New Age,Wild in the Streets,Bryana,Samara,5
479,Satire,"Ogre, The (Unhold, Der)",Northrop,Aimee,2
480,Romance,City Heat,Cloe,Sherwood,2
481,Horror,America Before Columbus,Brandise,Kalle,5
482,Dictionaries,"Decline of the American Empire, The (Déclin de l'empire américain, Le)",Theodosia,Honor,2
483,Anthology,Amira & Sam,Dulcea,Lusa,4
484,Health,Dead End Drive-In,Barton,Nap,3
485,Action and Adventure,"Last Emperor, The",Nikola,Oona,3
486,Dictionaries,Tarzan and His Mate,Thorvald,Lea,2
487, Spirituality & New Age,Always for Pleasure,Mikel,Goldarina,5
488,Science,Float,Margy,Kimberly,1
489,Mystery,Morocco,Pierson,Dukey,5
490,Poetry,Police State,Delano,Charmine,5
491,Travel,"Boy and His Dog, A",Merle,Gwen,5
492,Self help,"Die, Monster, Die!",Bethanne,Bennie,2
493,Mystery,Goldfinger,Rossie,Hiram,3
494,Travel,"Alamo, The",Easter,Victoir,5
495,Action and Adventure,"Other Woman, The",Nolan,Viv,1
496,Dictionaries,"Needle, The (Igla)",Paulita,Otto,3
497,Dictionaries,Zozo,Dahlia,Giffie,3
498,Math,Forbidden Planet,Reube,Ivory,5
499,Horror,Confessor Caressor,Conrad,Anne-corinne,3
500,Religion,"Woman Under the Influence, A",Ebba,Albertina,1
501,Mystery,My Name is Juani (Yo soy la Juani),Carolin,Esma,3
502, Spirituality & New Age,8th Wonderland,Yelena,Vinny,5
503,biography,McConkey,Umberto,Jessamine,2
504,Mystery,One Bright Shining Moment,Alvira,Cindie,1
505,Anthology,Dragon Hunter,Lura,Jarrid,3
506,Mystery,"Jungle Book 2, The",Virgie,Fergus,4
507,History,Bravo Two Zero ,Xenia,Padgett,4
508,Romance,Titanica,Mayer,Brade,3
509,Religion,Harry Potter and the Goblet of Fire,Rachael,Stanford,3
510,Health,Fill the Void (Lemale et ha'halal),Karole,Emalee,5
511,Self help,Deck the Halls,Dionisio,Huntley,4
512,biography,Kill by Inches,Stacie,Loydie,5
513,Romance,"Summer by the River, A (Kuningasjätkä)",Tandi,Otto,4
514,History,Surrogates,Erek,Minny,5
515,Diaries,"Invisible Man Returns, The",Clayborne,Katalin,3
516,Self help,Away with Words (San tiao ren),Salomone,Paxton,5
517,Self help,"Shawshank Redemption, The",Nicoli,Sinclare,3
518,Math,"Addams Family, The",Hank,Bibbie,4
519,Diaries,Immortel (ad vitam) (Immortal),Phaidra,Laurena,1
520,biography,"Defender, The",Temple,Reeva,3
521,Romance,Tommy,Kattie,Marwin,3
522,horror,"Savages, The",Alyssa,Somerset,4
523,Mystery,Dinosaurs: A Fun Filled Trip Back in Time,Nikoletta,Abigael,3
524,Cookbooks,"Silent Night, Deadly Night",Aube,Ricky,1
525,Math,Here and There (Tamo i ovde),Kelvin,Maryann,1
526,biography,"Man for All Seasons, A",Gal,Claiborne,5
527,Drama,Shadow People,Susann,Drusi,4
528,Health,All at Sea,Terrye,Erv,1
529,Action and Adventure,Naked Gun 33 1/3: The Final Insult,Salomo,Egbert,1
530,Romance,"Big Bang Theory, The (2007-)",Tana,Ricoriki,2
531,biography,Fighting,Annora,Adrea,4
532,Poetry,Keeping Mum,Dilan,Maximilianus,2
533,Comics,Troop Beverly Hills,Sybila,Catlaina,4
534,Self help,"Body Snatcher, The",Forester,Leonidas,4
535, Spirituality & New Age,"Hoax, The",Oates,Ibby,4
536,Diaries,Comic Book Villains,Tremaine,Lurleen,5
537,Math,Black Butterflies,Had,Viola,2
538,academic,After the Wedding (Efter brylluppet),Christyna,Claudine,5
539,Children's,Beauty Shop,Claudian,Baron,2
540,academic,China Blue,Barr,Guinna,1
541,Satire,The Dependent,Bucky,Pauly,4
542,Self help,"Killer, The (Die xue shuang xiong)",Montgomery,Magda,5
543,Science,Prison Break: The Final Break,Ilise,Harmonia,2
544,biography,Hunger,Raf,Herman,3
545,horror,Leonard Cohen: I'm Your Man,Gawain,Aloisia,1
546,Math,House on Haunted Hill,Danita,Edy,2
547,Dictionaries,Sunshine Cleaning,Ogdan,Ferdinand,4
548,Self help,Van Helsing,Luci,Ferguson,3
549,Dictionaries,Aliens,Bernadette,Currey,3
550,Anthology,Dance of Outlaws (Häätanssi),Ermengarde,Fiann,5
551,Dictionaries,Split Second,Tobiah,Chiarra,3
552,Poetry,Violets Are Blue...,Gnni,Marcel,4
553,Science fiction,eXistenZ,Freddie,Gauthier,4
554,Religion,Hamlet,Hamnet,Westleigh,4
555,academic,Dallas Buyers Club,Marabel,Lucio,5
556,biography,Close Encounters of the Third Kind,Dionysus,Erna,3
557,History,Bad Lieutenant: Port of Call New Orleans,Rheba,Issie,1
558,Cookbooks,Big Buck Bunny,Perl,Morganne,5
559,Self help,"Cheyenne Social Club, The",Constancy,Dannel,3
560,Science fiction,Cruising,Eunice,Clarissa,5
561,biography,xXx: State of the Union,Caty,Svend,2
562,Math,Desperate Measures,Joachim,Paige,1
563,biography,Platform (Zhantai),Merline,Arielle,5
564,Children's,Ewoks: The Battle for Endor,Preston,Darya,1
565,Science fiction,"Men Who Made the Movies: Samuel Fuller, The",Salim,Sasha,3
566,Math,Paris 36 (Faubourg 36),Deanne,Jefferson,2
567,Self help,Paranormal Activity 4,Dugald,Iris,4
568, Spirituality & New Age,The Concert for Bangladesh,Danica,Sarine,1
569, Spirituality & New Age,Adam & Steve,Annmaria,Saunderson,4
570,Drama,"Odessa File, The",Birk,Caldwell,1
571,Science fiction,Gayby,Linn,Anica,2
572,Horror,"Truly, Madly, Deeply",Wylie,Hesther,3
573,Satire,"Winner, The",Bendicty,Averyl,2
574,biography,"Attack, The",Roma,Angelita,1
575,Art,Piggy,Aldus,Wiatt,4
576,History,Get Thrashed: The Story of Thrash Metal,Anne-corinne,Karl,4
577,Encyclopedias,Poultrygeist: Night of the Chicken Dead,Jerrie,Addia,2
578,Horror,George & A.J.,Wallache,Howie,4
579, Spirituality & New Age,Once Bitten,Charla,Caesar,3
580,academic,"Lower Depths, The (Les bas-fonds)",Isa,Innis,2
581,horror,Lucy,Joella,Ford,3
582,Cookbooks,Mr. Magorium's Wonder Emporium,Anatollo,Adda,4
583,Health,Emergo (Apartment 143),Dougy,Vonnie,3
584,History,"J. Gang Meets Dynamite Harry, The (Jönssonligan & DynamitHarry)",Cecile,Florinda,2
585,Comics,Silver Streak,Erin,Melinda,5
586,Science fiction,Vodka Lemon,Connie,Chrissie,5
587,academic,Sliding Doors,Hailee,Elka,2
588,Comics,Proof of Life,Christoph,Hermina,1
589,Science,Wanted,Letta,Sergei,5
590,Travel,Just Sex and Nothing Else (Csak szex és más semmi),Dorolisa,Genny,2
591, Spirituality & New Age,Reasonable Doubt,Ira,Maggie,2
592,Guide,Woman in the Moon (By Rocket to the Moon) (Frau im Mond),Opal,Marje,4
593,biography,Gerontophilia,Kippy,Gillie,3
594,biography,Al Franken: God Spoke,Gillan,Aurlie,5
595,Mystery,Gold Diggers: The Secret of Bear Mountain,Carleen,Perice,1
596,academic,I Want to Be a Soldier,Keeley,Jasmina,2
597,Math,"Bekännelsen (Confession, The)",Beverly,Wally,5
598,Religion,God Help the Girl,Sybille,Abbi,4
599,Math,"Fifth Estate, The",Suzanna,Babbette,3
600,Religion,"Night Train Murders (Last Stop on the Night Train) (Ultimo treno della notte, L')",Thaddus,Geno,4
601,Mystery,Higher Ground,Joleen,Deva,2
602,Health,42 Up,Judas,Alica,1
603,biography,Zombies of the Stratosphere,Bart,Rosie,5
604, Spirituality & New Age,Fire of Conscience (For lung),Carmelita,Jeramey,4
605, Spirituality & New Age,"Ice Storm, The",Mora,Leonhard,3
606,Poetry,"Marsh, The",Celine,Bobinette,4
607,Children's,Reckless,Emilee,Ibby,4
608,Comics,Betrayal,Kincaid,Michaella,1
609,History,Plymouth Adventure,Dixie,Dena,4
610,Cookbooks,I Met Him in Paris,Sherwynd,Brynn,1
611,Science fiction,Tennessee Johnson,Allan,Dov,3
612,Religion,Ex-Lady,Edward,Roxane,5
613,Religion,Smoke Signals,Chicky,Tracee,2
614,Satire,Jonathan Livingston Seagull,Freeman,Bale,1
615,Science fiction,Bad Influence,Alvera,Crin,5
616,Guide,Holiday for Drumsticks,Stepha,Minerva,3
617,Romance,Tulsa,Henri,Jayme,1
618,Action and Adventure,Rouge (Yin ji kau),Ollie,Lilah,5
619,Encyclopedias,"Long Voyage Home, The",Catharine,Dimitry,1
620,Dictionaries,"Jungle Creature: Hugo, The (Jungledyret) (Go Hugo Go)",Merrel,Natalya,1
621,Religion,Heaven's Gate,Josias,Renate,3
622,academic,House of Sand and Fog,Nestor,Hatty,1
623,Health,"Words, The",Christiane,Giustina,2
624,Science fiction,"House by the Cemetery, The (Quella villa accanto al cimitero)",Nevin,Alley,5
625,Science,Centurion,Davine,Farleigh,5
626,Anthology,Prom Night in Mississippi,Kerk,Reinhard,5
627,Mystery,Cold Steel,Brittany,Fred,2
628,Mystery,Married Life,Robbert,Billy,2
629,Poetry,One Million Years B.C.,Irene,Noach,5
630,Art,"Eye Above the Well, The (Het oog boven de put)",Felike,Averyl,1
631,Comics,Far From Home: The Adventures of Yellow Dog,Timi,Sydelle,1
632,Dictionaries,Joe Strummer: The Future Is Unwritten,Hadria,Malinde,5
633,Children's,Wonderful Days (a.k.a. Sky Blue),Mikaela,Forest,4
634,Cookbooks,100 Rifles,Yurik,Josepha,1
635,academic,This Is the Night,Candis,Melantha,1
636,Mystery,In Fear,Cedric,Zacharia,1
637,History,Xiu Xiu: The Sent-Down Girl (Tian yu),Tailor,Gizela,4
638,Science,Escobar: Paradise Lost,Rob,Sidonia,3
639,biography,Cold Turkey,Bellina,Harper,4
640,Mystery,Fred & Vinnie,Franz,Corabella,2
641,Math,Goldene Zeiten,Mamie,Kimbell,2
642,biography,Wuthering Heights,Ainslee,Stanfield,4
643,Diaries,Spartacus,Ruddy,Melissa,5
644,Action and Adventure,Dreams of  a Life,Cilka,Twyla,2
645,Math,Brown of Harvard,Nell,Selena,4
646,Journals,Lesbian Vampire Killers,Morissa,Chadwick,3
647,Cookbooks,Om Jai Jagadish,Deerdre,Deeann,1
648,Comics,China Blue,Husain,Sybil,3
649,horror,"Killing of John Lennon, The",Meade,Georgine,4
650,Horror,The Hire: Beat the Devil,Karlyn,Pinchas,5
651,Children's,Atomic Twister,George,Klement,2
652,Children's,Somewhere Between,Wanids,Lauri,2
653,Science,Friends with Benefits,Gordan,Charity,2
654,Health,Salaam Namaste,Effie,Chrysler,1
655,Mystery,Stand and Deliver,Waly,Reidar,4
656,Math,12 Storeys (Shier lou),Annette,Marty,1
657,Cookbooks,Downloaded,Prince,Kesley,3
658,Cookbooks,"First Day of the Rest of Your Life, The (Le premier jour du reste de ta vie)",Colver,Estell,4
659,Action and Adventure,Go Figure (Va savoir),Hussein,Ginevra,5
660,horror,Superdad,Merry,Alix,1
661, Spirituality & New Age,Voyage to the End of the Universe (Ikarie XB 1),Joelle,Dotty,4
662,Anthology,The Brain,Gabbie,Joeann,1
663,Cookbooks,Love's Kitchen,Ingeberg,Galvan,5
664,academic,Free the Nipple,Hertha,Georgeanne,3
665,Children's,What Matters Most,Elizabeth,Antonie,5
666,Science,"Candidate, The (Kandidaten)",Sam,Saunderson,5
667,Science fiction,Sheep Eaters (Lampaansyöjät),Bibby,Marsha,3
668,Romance,Critters 4,Agace,Avictor,1
669,Children's,Goya in Bordeaux (Goya en Burdeos),Wilmar,Giorgia,3
670,Mystery,Slam Dunk Ernest,Letisha,Julia,2
671,Diaries,Where Are My Children?,Sallie,Alexis,4
672,Action and Adventure,Psycho III,Nerissa,Jude,1
673,Cookbooks,Alone in the Dark II,Amerigo,Antonietta,2
674,Math,It's My Mother's Birthday Today,Jenni,Giulia,5
675,Art,"Largo Winch (Heir Apparent: Largo Winch, The)",Monica,Vincent,3
676, Spirituality & New Age,Love in Another Language (Baska Dilde Ask),Marys,Bradford,4
677,Science fiction,The Living Magoroku,Terra,Shirley,3
678,Guide,"Last Command, The",Katy,Gracia,2
679,Romance,"Phantom Stagecoach, The",Towney,Verena,1
680,Art,Yellow Earth (Huang tu di),Hetty,Zelma,3
681,Self help,"Case of the Grinning Cat, The (Chats perchés)",Asia,Karna,3
682,Travel,Hardcore,Nessie,Perry,1
683,Science,Miral,Demetre,Brunhilda,2
684,Health,"Longest Yard, The",Lev,Madeline,2
685,Horror,"Effect of Gamma Rays on Man-in-the-Moon Marigolds, The",Ody,Kamila,1
686,Religion,Harvest (Stadt Land Fluss),Bronny,Eugine,2
687,Math,28 Up,Emili,Rodrick,4
688,academic,Red Sorghum (Hong gao liang),Malchy,Jamey,4
689,Encyclopedias,Wonderful and Loved by All (Underbar och älskad av alla),Cicily,Braden,3
690,Guide,Banklady,Lenora,Colet,5
691,Horror,Dr. Jekyll and Mr. Hyde,Sibby,Baldwin,5
692,Science fiction,"Good German, The",Karoline,Shannen,1
693,Anthology,Clear and Present Danger,Cyndy,Salvidor,1
694,Romance,In the House,Laurence,Belvia,4
695,Mystery,Fred: The Movie,Carolan,Cheston,2
696,Travel,Cowboy Bebop,Golda,Ursulina,1
697,Science fiction,I'm Here,Man,Sancho,3
698,Science,Bright Eyes,Nicole,Edgar,5
699,Dictionaries,FernGully 2: The Magical Rescue,Sullivan,Bunnie,5
700,Encyclopedias,Dad,Vivien,Raynor,2
701,Math,"Unspeakable Act, The",Cyb,Paola,1
702,Dictionaries,Okie Noodling,Harold,Tabina,5
703,Comics,Hotel,Benetta,Timotheus,2
704,Cookbooks,Abouna,Ruth,Charyl,2
705,Mystery,Heart and Souls,Timmy,Kevan,4
706,Comics,If You Are the One,Janis,Roger,5
707,Cookbooks,The Bride Wore Red,Irvin,Laverne,3
708,Anthology,Maria,Bronny,Bjorn,5
709,horror,Emerald Cowboy,Orelle,Correy,1
710,Action and Adventure,Gallipoli,Melodie,Giacobo,3
711,Satire,"Amateur, The",Quintin,Noelani,5
712,Art,Cruel Story of Youth (Seishun zankoku monogatari),Carolyn,Justinn,5
713,Dictionaries,Abbott and Costello Meet Captain Kidd,Land,Darbee,3
714, Spirituality & New Age,Witless Protection,Ethelbert,Chen,5
715,Children's,Siblings,Angele,Tildy,3
716,Romance,Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro),Holly,Lorrie,3
717,academic,"Kidnapping of the President, The",Yankee,Rochella,3
718,Journals,Love Finds Andy Hardy,Anthia,Nevil,5
719,Science,Bambou,Lynea,Emyle,5
720,Action and Adventure,"Skeleton Key, The",Glennie,Giusto,3
721,Anthology,Spring in a Small Town (Xiao cheng zhi chun),Irving,Meier,4
722,Cookbooks,All About My Mother (Todo sobre mi madre),Agnola,Jen,4
723,Romance,En på miljonen,Gustaf,Buddy,2
724, Spirituality & New Age,Horsemen,Debora,Amity,2
725,Drama,Bonnie and Clyde,Harmonia,Danni,2
726,Health,"Man Who Knew Too Much, The",Lurleen,Corina,2
727,Comics,Roadkill (a.k.a. Roadkill: Move or Die),Ebeneser,Kandy,2
728,Comics,Just Like a Woman,Cindee,Blake,4
729,Art,Village of the Giants,Wendall,Janka,5
730,Satire,Chak De India!,Donn,Shae,1
731,Science,"Bound by Honor (a.k.a. Blood In, Blood Out)",Eirena,Kristos,4
732,Poetry,Blubberella,Bordie,Morley,3
733,Mystery,Flight from Death: The Quest for Immortality,Ninnette,Enrique,4
734,Dictionaries,Harry Brown,Caleb,Cleon,2
735,Encyclopedias,"Tale of Zatoichi Continues, The (Zoku Zatôichi monogatari) (Zatôichi 2)",Wait,Amandie,5
736,Health,Can't Help Singing,Dyanne,Cybill,3
737,Comics,"Wizard, The",Glenda,Garald,3
738, Spirituality & New Age,Rings on Her Fingers,Starlin,Elizabeth,2
739,Satire,Bullet in the Head,Cinderella,Jefferey,2
740,Religion,"House on Telegraph Hill, The",Janeen,Giacinta,5
741,Satire,Stay,Davon,Fredric,2
742,Comics,Boys,Ludvig,Garvin,1
743,Math,Tasting Menu,Colin,Fredrick,2
744,Anthology,"Brother from Another Planet, The",Renato,Sarene,1
745,Cookbooks,Madame Butterfly,Marsiella,Shayna,3
746,Poetry,Dragon Lord (a.k.a. Dragon Strike) (Long Xiao Ye),Mag,Reinald,4
747,Diaries,Wicked City (Yôjû toshi),Janith,Giana,1
748, Spirituality & New Age,Triangle (Tie saam gok),Redd,Krystle,5
749, Spirituality & New Age,Breath (Soom),Meryl,Sheryl,2
750,Satire,"Fûke, De",Isabeau,Eben,5
751,Romance,Flyboys,Forrest,Kissie,5
752,Math,That Uncertain Feeling,Theodora,Bobbie,2
753,Guide,Loputon Gehennan liekki,Koren,Rozalin,4
754,Drama,"Betrayal, The (Nerakhoon)",Neely,Cointon,5
755,academic,"Whales of August, The",Waly,Arleyne,3
756,academic,Infamous,Bailie,Manon,2
757,Mystery,Show Me Love (Fucking Åmål),Garrek,Nissie,2
758,Religion,Grown Up Movie Star,Winslow,Rosemaria,2
759,Encyclopedias,Let Me In,Mellisent,Mureil,2
760,horror,Creepshow,Eda,Danita,5
761,Encyclopedias,Laurence Anyways,Justis,Even,5
762,Encyclopedias,CQ,Junie,Ortensia,3
763,Satire,"6th Day, The",Margo,Fredrick,3
764,horror,Get Smart,Clementia,Vivia,3
765,Science,"Interview, The",Hildegaard,Hayden,4
766,Romance,"Glass House, The",Kelcey,Terry,2
767,biography,Barocco,Jdavie,Maximilian,4
768,Religion,Casting By,Caryn,Ainslie,4
769,Cookbooks,Tom Sawyer,Dore,Dorelle,5
770,Children's,Rosewater,Emile,Bobby,3
771,Journals,Macario,Delcina,Linn,5
772,Health,Åsa-Nisse - Wälkom to Knohult,Orin,Prissie,1
773,Cookbooks,Marty,Kikelia,Jesus,1
774,academic,Bombay Talkie,Clemence,Jamal,3
775,Encyclopedias,"Corridor, The",Dotti,Genny,4
776,Drama,"Nick Carter, Master Detective",Abba,Kerry,4
777,Dictionaries,"Love Bug, The",Dani,Augustin,3
778,Guide,Hellbound: Hellraiser II,Gael,Valli,5
779,Journals,Herbie Rides Again,Gusti,Curr,1
780,horror,Sisters of the Gion (Gion no shimai),Sully,Beau,5
781,Religion,"Adventures of Tintin, The",Raynor,Jessalyn,4
782,Self help,Run Lola Run (Lola rennt),Carrol,Susan,4
783,Diaries,Autumn Sonata (Höstsonaten),Vinni,Anatol,2
784,Action and Adventure,The Legend of Sarila,Risa,Peria,4
785,Action and Adventure,"Baby-Sitters Club, The",Liv,Reggie,3
786,Dictionaries,No Time for Love,Kamila,Hort,3
787,Romance,Seed,Winny,Faye,4
788,Mystery,Johnny Cash at Folsom Prison,Nerissa,Zara,1
789,biography,Barnacle Bill,Chrissy,Rasia,2
790,Anthology,Little Miss Sunshine,Dione,Carline,2
791,Poetry,Return to the Blue Lagoon,Newton,Hillary,3
792,Diaries,Bay of Angels (La baie des anges),Newton,Byrle,4
793,Diaries,Picnic on the Grass (Le déjeuner sur l'herbe),Linus,Eleni,3
794,academic,"Girl Next Door, The",Ashley,Granthem,5
795,Children's,Battles Without Honor & Humanity (Jingi naki tatakai),Vick,Orville,5
796,Mystery,Longford,Klara,Waylin,3
797,horror,Calamity Jane,Randa,Guthrey,3
798,Drama,Michael,Zandra,Lisha,3
799,Comics,"Men, Women & Children",Willie,Suzie,1
800,Mystery,Bar Girls,Padriac,Ludwig,5
801,Diaries,Set It Off,Lauri,Martelle,1
802,Action and Adventure,Black Christmas,Miguelita,Tracy,1
803,Cookbooks,"Silent World, The (Le monde du silence)",Dionysus,Carr,1
804,Science fiction,Six Ways to Sunday,Madelene,Thorsten,1
805,Self help,Outside the Law,Celesta,Valry,2
806,Science fiction,GhostWatcher,Hagan,Matteo,4
807,Diaries,Happy New Year,Kessiah,Meredith,2
808,Action and Adventure,Car Wash,Susette,Skyler,2
809,Encyclopedias,Darling,Marigold,Marisa,4
810,Poetry,Pianomania,Ezequiel,Yoko,1
811,Science,Men in War,Jim,Bengt,2
812,Comics,Tales of Terror (Kaidan Shin Mimibukuro),Hedy,Avrom,4
813,Children's,Machuca,Hedvige,Aindrea,5
814,Comics,Enemies: A Love Story,Abba,Ingelbert,1
815,Dictionaries,Jesus Camp,Darbie,Lina,1
816,Cookbooks,"Skulls, The",Zsa zsa,Trudey,3
817,Action and Adventure,Highlander: Endgame (Highlander IV),Bee,Clemmie,5
818,Anthology,Winning Streak,Domingo,Spencer,4
819,Cookbooks,"Bad Girls (Biches, Les)",Eleonore,Gradey,5
820,Religion,Island at War,Antony,Modestine,5
821,Math,"Patriot, The",Isabeau,Koral,3
822,Travel,The Night Evelyn Came Out of the Grave,Gregory,Eduardo,1
823,Art,Woyzeck,Roobbie,Matthaeus,1
824,Comics,Uptown Girls,Caldwell,Lammond,3
825,Journals,Love in the Afternoon,Calla,Derek,1
826,Guide,Stereo,Lindon,Wandie,3
827,Religion,A Summer in La Goulette,Lilllie,Kasey,4
828,Self help,Siberia,Nathanial,Wallace,2
829,Comics,The Boy Next Door,Myranda,Netti,1
830,Anthology,Romanzo Criminale,Hephzibah,Rivy,1
831,Anthology,"Good Night, The",Hewie,Rivy,5
832,Horror,Friends with Kids,Elsy,Alexandros,1
833,Encyclopedias,Arc,Elwin,Brooks,5
834,Poetry,"Student Prince in Old Heidelberg, The",Langston,Josi,5
835, Spirituality & New Age,Criss Cross,Stacey,Shannon,4
836,History,"Cantante, El",Jehu,Maurizio,2
837, Spirituality & New Age,Witness,Thorn,Cale,1
838,Cookbooks,Special Mission Lady Chaplin,Vivyanne,Iolanthe,5
839,Children's,Johnny Angel,Nadeen,Karlotte,2
840,Dictionaries,Suspicion,Corri,Sutton,3
841,horror,French Fried Vacation (Les Bronzés),Walton,Elberta,2
842, Spirituality & New Age,Blood: The Last Vampire,Ase,Rhys,3
843,Art,Side Effects,Hercules,Brinn,4
844,Horror,2012: Supernova,Lauretta,Rorke,5
845,academic,Fat Man and Little Boy,Ramonda,Willy,2
846,Self help,Riding Alone for Thousands of Miles (Qian li zou dan qi),Urban,Hollis,5
847,Poetry,Love Lasts Three Years (L'amour dure trois ans),Eryn,Ebba,5
848,Travel,The Gunman,Irving,Claudell,5
849,History,Orders to Kill,Clifford,Carita,5
850,horror,"Saddest Music in the World, The",Lyndy,Juana,3
851,Cookbooks,Mom's Night Out,Emelda,Annis,3
852,Self help,"Groundstar Conspiracy, The",Hunter,Britni,4
853,Action and Adventure,House of the Rising Sun,Emelina,Derrick,4
854,History,Sex in Chains (Geschlecht in Fesseln),Shoshanna,Tiphanie,4
855,Guide,Seven Brides for Seven Brothers,Guy,Siobhan,5
856,Satire,"Girlfriend Experience, The",Francklyn,Udell,4
857,Action and Adventure,Easy Street,Woodrow,Corenda,2
858,Self help,Clockers,Rafaelita,Jacqueline,2
859,biography,K.G. (Karate Girl),Cary,Nissy,1
860,Satire,Light of Day,Shelbi,Merwyn,3
861,Diaries,Intimidation,Sebastien,Roxana,2
862,Encyclopedias,"Moment to Remember, A (Nae meorisokui jiwoogae)",Rosa,Marga,3
863,Science fiction,Little Witches,Harlene,Jere,5
864,academic,Anazapta (Black Plague),Mehetabel,Jordan,4
865,Cookbooks,"Replacement Killers, The",Yanaton,Christos,2
866,Science fiction,Spring Breakers,Lorne,Annamarie,3
867,Self help,"District, The (Nyócker!)",Ruthanne,Moise,5
868,Encyclopedias,Traitor,Fitzgerald,Nydia,5
869,Mystery,Simple Simon (I rymden finns inga känslor),Drona,Kylila,2
870,Self help,Liverpool,Bobbee,Noland,5
871,Travel,Demon Seed,Tam,Jen,2
872,horror,Manual of Love 2 (Manuale d'amore (capitoli successivi)),Sasha,Sax,5
873,Cookbooks,"Ernest Film Festival, The",Lauraine,Allys,4
874,Children's,Blithe Spirit,Launce,Kalila,5
875,Travel,Nomad (Köshpendiler),Dasi,Shena,3
876,Travel,"Land Girls, The",Rosanne,Roxana,1
877,Health,Buddha Collapsed Out of Shame,Hollyanne,Virgilio,2
878,Health,"Westerner, The",Cordie,Alvina,3
879,Action and Adventure,"Servant, The",Granny,Nerissa,2
880, Spirituality & New Age,All Access,Pansie,Kinsley,4
881,Journals,Breakin' All the Rules,Dee,Menard,5
882,Horror,Scratch,Jocelyn,Stewart,3
883,Self help,Don't Think About It (Non Pensarci),Myrta,Val,5
884,Art,Big Girls Don't Cry... They Get Even (Stepkids),Esteban,Kellie,3
885,Cookbooks,Be Kind Rewind,Marcelline,Merrill,1
886,Poetry,Barney's Great Adventure,Gal,Jeffy,3
887,Horror,The Police Serve the Citizens?,Tamarra,Ula,5
888,Math,"Great White Silence, The",Marcello,Crissy,3
889,horror,Three of Hearts,Upton,Elena,2
890,Poetry,How the Grinch Stole Christmas!,Ivie,Abeu,1
891,Health,Grand Hotel,Noah,Kelci,1
892,Dictionaries,R100,Jemmie,Marta,2
893,Drama,Gates of Heaven,Hart,Mycah,2
894,Cookbooks,"Good Humor Man, The",Baxter,Giacinta,4
895,Science fiction,Spring Subway,Sly,Casey,1
896,Art,Don't Go Breaking My Heart (Daan gyun naam yu),Alica,Kenn,3
897,Dictionaries,"Nightmare City (a.k.a. City of the Walking Dead) (a.k.a. Invasión de los zombies atómicos, La) (Incubo sulla città contaminata)",Wylie,Cary,4
898,biography,"Warrior's Way, The",Devan,Elliot,3
899,biography,"Christmas Story 2, A",Ellissa,Raviv,5
900,Science,Kabluey,Adella,Mariellen,5
901,Self help,Merrily We Live,Diena,Ransom,2
902,Religion,I Give It a Year,Lonny,Irwin,1
903,Math,"Night They Raided Minsky's, The (Night They Invented Striptease, The)",Nixie,Cornie,2
904,Cookbooks,Harold and Kumar Go to White Castle,Astra,Jan,4
905,horror,Blood Done Sign My Name,Chan,Ilyssa,3
906,Poetry,Pulgasari,Carmela,Cedric,1
907,Diaries,Ski Patrol,Sheila-kathryn,Joyous,3
908,Encyclopedias,My Life Without Me,Zeb,Vasili,2
909,History,Burrowing (Man tänker sitt),Linnell,Inger,3
910,Satire,She's the Man,Spence,Corri,3
911,Art,Imago mortis,Leonard,Emmerich,2
912,Journals,Mine Games,Marion,Patsy,2
913,History,Land of Silence and Darkness (Land des Schweigens und der Dunkelheit),Dexter,Eran,5
914,Anthology,"Cube of Sugar, A (Ye Habe Ghand)",Tomaso,Anne,1
915,Journals,"Legacy, The",Raven,Barb,3
916,Comics,"Woman on the Beach, The",Hallsy,Hermann,1
917,academic,Wirey Spindell,Dunstan,Yardley,5
918,Science fiction,Lahore,Meridith,Micah,5
919,Religion,Sink the Bismark!,Kelsy,Tamiko,4
920,Diaries,"Prince and the Pauper, The",Binnie,La verne,3
921,Encyclopedias,State of Play,Malachi,Ellie,3
922,Travel,Anastasia,Vickie,Kassi,1
923,Children's,"Actress, the Dollars and the Transylvanians, The (Artista, dolarii si Ardelenii)",Joanna,Cherye,3
924,History,Courier,Nevin,Audy,5
